,회사명,ROA,PER
189,경인전자,3.52,31.46
190,경창산업,0.52,-9.59
191,계룡건설,4.0,4.93
192,계양전기,6.41,14.22
193,고려개발,0.47,-10.05
194,고려반도체,-9.25,13.35
195,고려산업,4.37,20.39
196,고려시멘트,0.0,18.14
197,고려신용정보,20.13,11.48
198,고려아연,10.51,14.83
199,고려제강,1.96,14.61
200,고려제약,7.52,16.85
201,고영,20.38,34.49
202,골든브릿지제3호스팩,-0.25,-382.58
203,골든브릿지제4호스팩,-1.53,150.62
204,골든브릿지증권,-0.51,-21.33
205,골든센츄리,0.0,-58.02
206,골프존,24.77,4.19
207,광동제약,7.59,23.9
208,광림,-1.91,-25.87
209,광명전기,3.07,37.74
210,광전자,0.61,12.65
211,광주신세계,7.09,8.05
212,광주은행,0.83,4.88
213,광주은행,0.0,4.88
214,광진실업,-0.98,29.83
215,광진윈텍,3.66,-32.32
216,교보5호스팩,-0.25,-544.35
217,교보비엔케이스팩,0.0,639.91
218,교보증권,1.55,8.59
219,구영테크,2.93,12.52
220,국도화학,2.43,10.5
221,국동,9.53,6.53
222,국보,1.19,-3.21
223,국보디자인,7.61,11.39
224,국순당,-2.31,8.47
225,국영지앤엠,-2.65,99.36
226,국일신동,0.85,14.81
227,국일제지,-1.41,2470.35
228,국제약품,3.92,51.14
229,그랜드백화점,-0.11,3.56
230,극동유화,8.75,6.83
231,글로벌에스엠,7.99,-165.22
232,글로본,0.0,-11.2
233,금강공업,8.14,5.7
234,금강철강,0.48,12.86
235,금비,7.53,21.47
236,금양,6.64,-14.3
237,금호산업,3.68,-17.37
238,금호석유,2.12,23.44
239,금호에이치티,8.64,6.7
240,금호전기,2.34,-2.7
241,금호타이어,0.74,-20.82
242,금화피에스시,8.95,9.74
243,기가레인,-9.1,-15.63
244,기산텔레콤,20.99,-9.53
245,기신정기,0.0,168.6
246,기아차,4.31,11.48
247,기업은행,0.61,6.37
248,까뮤이앤씨,0.09,10.92
249,깨끗한나라,3.1,85.7
250,나노,-11.77,-3.32
251,나노스,-26.7,8.97
252,나노신소재,6.32,27.72
253,나노엔텍,-11.03,-23.52
254,나노캠텍,-3.83,-28.86
255,나라엠앤디,2.83,18.12
256,나무가,0.73,-3.41
257,나스미디어,9.79,32.5
258,나이벡,-12.24,-40.36
259,나이스디앤비,5.15,16.69
260,나이스정보통신,15.05,7.33
261,남광토건,7.92,-23.78
262,남선알미늄,5.82,6.64
263,남성,3.17,39.81
264,남양유업,4.74,32.13
265,남영비비안,0.55,94.73
266,남해화학,3.97,26.48
267,남화토건,1.66,9.07
268,내츄럴엔도텍,-10.52,-32.8
269,네오디안테크놀로지,7.54,-26.94
270,네오오토,6.55,6.09
271,네오위즈홀딩스,1.74,-6.87
272,네오티스,2.51,-6.56
273,네오팜,20.37,38.93
274,네이블,-0.05,-8.73
275,네이처셀,-2.91,-1693.62
276,네패스,3.67,31.65
277,네패스신소재,-9.14,-38.21
278,넥센,11.46,4.61
279,넥센타이어,10.24,8.66
280,넥센테크,8.7,56.59
281,넥스턴,56.25,9.87
282,넥스트BT,1.68,-27.94
283,넥스트리밍,-17.64,-7.11
284,넥스트바이오홀딩스,-10.57,-8.67
285,넥스트아이,-3.55,186.49
286,넥스트칩,-8.06,-19.63
287,넥슨지티,20.78,-172.91
288,넵튠,0.0,-44.88
289,노루페인트,6.54,5.38
290,노루홀딩스,3.11,4.43
291,녹십자,8.7,35.32
292,녹십자랩셀,5.01,394.21
293,녹십자셀,0.44,273.27
294,녹십자엠에스,-3.13,216.78
295,녹십자홀딩스,6.48,30.73
296,농심,3.73,21.2
297,농심홀딩스,4.35,13.52
298,농우바이오,7.43,-27.64
299,누리텔레콤,-13.89,33.0
300,누리플랜,-12.22,-15.4
301,뉴로스,1.33,-161.46
302,뉴보텍,2.63,-96.24
303,뉴인텍,-14.17,-7.65
304,뉴트리바이오텍,18.18,52.17
305,뉴파워프라즈마,0.0,12.83
306,뉴프라이드,-25.74,-14.88
307,뉴프렉스,7.7,26.83
308,닉스테크,-14.21,-29.45
309,다나와,12.88,16.01
310,다날,0.54,34.96
311,다믈멀티미디어,-1.66,-20.39
312,다산네트웍스,-6.58,-6.43
313,다우기술,2.61,10.87
314,다우데이타,2.71,26.62
315,다우인큐브,-1.34,-99.43
316,다원시스,5.58,54.82
317,대경기계,-6.8,-10.04
318,대교,5.52,12.99
319,대구백화점,0.0,-8.13
320,대덕GDS,5.46,29.72
321,대덕전자,8.46,14.34
322,대동공업,-3.1,45.93
323,대동금속,-4.34,14.6
324,대동기어,-2.46,-8.65
325,대동스틸,-0.23,6.84
326,대동전자,0.0,18.26
327,대륙제관,13.27,8.57
328,대림B&Co,5.39,15.65
329,대림산업,4.26,5.09
330,대림씨엔에스,12.45,7.22
331,대림제지,17.55,34.26
332,대림통상,1.13,164.25
333,대명코퍼레이션,2.69,18.07
334,대봉엘에스,15.66,17.35
335,대상,6.26,17.96
336,대상홀딩스,6.23,14.67
337,대성미생물,14.47,16.69
338,대성산업,-0.44,-5.18
339,대성에너지,-6.44,11.97
340,대성엘텍,2.43,144.44
341,대성창투,15.71,-156.68
342,대성파인텍,1.78,16.04
