,회사명,ROA,PER
834,신성델타테크,2.96,10.66
835,신성이엔지,14.49,-15.94
836,신성통상,-0.03,14.86
837,신세계,1.69,16.23
838,신세계 I&C,3.6,23.84
839,신세계건설,8.35,4.52
840,신세계인터내셔날,0.25,29.24
841,신세계푸드,4.65,27.07
842,신송홀딩스,-3.46,-6.18
843,신스타임즈,-28.36,-10.76
844,신영스팩2호,-0.2,232.98
845,신영와코루,3.77,18.27
846,신영증권,0.0,8.71
847,신원,3.69,-43.25
848,신원종합개발,1.4,5.71
849,신일산업,4.04,13.17
850,신일제약,10.06,12.45
851,신진에스엠,0.57,15.98
852,신풍제약,1.96,-36.88
853,신풍제지,5.4,11.28
854,신한,-12.56,7.19
855,신한지주,0.95,7.4
856,신화실업,4.02,6.03
857,신화인터텍,4.86,-137.82
858,신화콘텍,19.89,8.28
859,신흥,3.17,38.98
860,실리콘웍스,5.94,22.06
861,심텍,4.15,10.58
862,심텍홀딩스,6.61,29.1
863,싸이맥스,11.07,9.27
864,쌍방울,-0.88,-9.09
865,쌍용양회,9.73,11.07
866,쌍용정보통신,-4.28,-9.23
867,쌍용차,-1.46,-51.1
868,써니전자,1.58,105.73
869,썬코어,-44.51,-1.93
870,썬텍,1.39,-1.11
871,썸에이지,-7.4,-41.0
872,쎄노텍,0.0,28.62
873,쎄니트,9.48,12.93
874,쎄미시스코,-10.2,11.56
875,쎄트렉아이,4.92,43.75
876,쎌바이오텍,19.27,22.1
877,쏠리드,-5.39,-3.9
878,씨그널엔터테인먼트그룹,0.34,-2.36
879,씨씨에스,-2.01,-26.88
880,씨아이테크,-11.48,-11.7
881,씨에스윈드,-4.43,70.62
882,씨엔플러스,-9.44,-2.53
883,씨엠에스에듀,8.02,22.4
884,씨유메디칼,1.54,-139.48
885,씨젠,5.79,125.72
886,씨케이에이치,9.68,-4.25
887,씨큐브,6.57,13.33
888,씨트리,5.24,-63.03
889,씨티씨바이오,1.11,-28.31
890,씨티엘,3.19,90.67
891,아가방컴퍼니,7.96,-176.45
892,아나패스,8.97,-11.12
893,아남전자,5.4,308.79
894,아리온,-21.14,-8.56
895,아모레G,13.04,54.6
896,아모레퍼시픽,13.65,40.48
897,아모텍,8.33,17.99
898,아미노로직스,2.59,-69.89
899,아미코젠,-4.59,1051.39
900,아바코,5.48,15.13
901,아바텍,6.51,8.59
902,아비스타,-21.9,-3.46
903,아비코전자,12.08,14.36
904,아세아,9.26,10.11
905,아세아시멘트,10.46,11.16
906,아세아제지,8.77,109.5
907,아세아텍,16.78,14.35
908,아스트,3.86,48.69
909,아시아경제,7.07,10.34
910,아시아나항공,7.83,-14.21
911,아이디스,-3.26,20.39
912,아이디스홀딩스,6.1,59.82
913,아이리버,-13.53,-25.92
914,아이마켓코리아,3.89,18.82
915,아이센스,14.29,24.05
916,아이쓰리시스템,8.18,19.56
917,아이씨디,18.16,8.02
918,아이씨케이,-2.72,-134.98
919,아이앤씨,0.11,35.71
920,아이에스동서,14.65,5.07
921,아이에스이커머스,-2.22,-60.58
922,아이에이,-1.57,-150.14
923,아이엠,-4.18,-19.2
924,아이엠텍,-0.19,-2.28
925,아이오케이,-2.88,-234.48
926,아이원스,3.31,28.0
927,아이이,-4.66,0.0
928,아이즈비전,4.47,13.32
929,아이진,-46.23,-29.54
930,아이컴포넌트,12.65,-23.29
931,아이콘트롤스,8.73,11.31
932,아이크래프트,-9.05,145.1
933,아이텍반도체,6.76,24.65
934,아이티센,-8.2,-20.79
935,아이티센,0.0,-20.79
936,아주캐피탈,1.73,18.25
937,아즈텍WB,8.14,186.45
938,아진산업,6.52,11.08
939,아진엑스텍,5.34,15.58
940,아트라스BX,13.65,9.22
941,아티스,-15.0,-38.03
942,아프리카TV,17.7,19.44
943,안국약품,0.76,21.27
944,안랩,8.66,33.02
945,안트로젠,0.83,3259.53
946,알루코,6.62,14.6
947,알루코,0.0,14.6
948,알보젠코리아,7.36,102.58
949,알서포트,0.77,92.96
950,알에프세미,0.53,138.23
951,알에프텍,7.12,6.45
952,알엔투테크놀로지,3.34,46.35
953,알테오젠,-12.37,-127.66
954,알톤스포츠,-7.5,-4.48
955,알티캐스트,1.9,59.24
956,알파홀딩스,0.0,-17.86
957,암니스,-6.0,-44.94
958,애경유화,19.65,9.36
959,애니젠,0.0,-9223.69
960,액션스퀘어,-45.39,-28.07
961,액토즈소프트,8.16,-283.27
962,액트,-3.14,-20.91
963,앤디포스,0.0,16.52
964,양지사,-4.01,23.44
965,어보브반도체,11.05,27.88
966,에너토크,3.09,186.11
967,에넥스,5.41,77.46
968,에머슨퍼시픽,11.25,50.56
969,에버다임,10.86,7.94
970,에스넷,-11.04,-284.63
971,에스디시스템,-12.02,-3.63
972,에스마크,-29.87,-1.0
973,에스맥,-1.9,14.05
974,에스씨디,7.79,12.07
975,에스아이리소스,6.74,-39.57
976,에스아이티글로벌,-108.24,-3.02
977,에스앤더블류,-3.7,-5.05
978,에스앤씨엔진그룹,6.04,4.99
979,에스앤에스텍,5.15,23.01
980,에스에너지,1.12,37.25
981,에스에이엠티,13.84,4.55
982,에스에이티,1.75,6.71
983,에스에프씨,-0.96,-41.51
984,에스에프에이,9.43,8.04
985,에스엔유,-9.21,-14.87
986,에스엔텍,-9.89,-67.07
987,에스엘,9.84,8.01
988,에스엠,10.44,129.22
989,에스엠코어,-9.67,-117.85
990,에스와이패널,3.36,-1180.24
991,에스원,14.01,25.27
992,에스코넥,8.84,7.96
993,에스텍,11.81,9.12
994,에스텍파마,3.04,39.03
995,에스티아이,31.51,11.62
996,에스티오,-3.55,11.64
997,에스티큐브,-29.31,-24.85
998,에스티팜,23.01,16.76
999,에스폴리텍,2.25,19.3
1000,에스피지,6.66,15.77
1001,에쎈테크,3.41,88.26
1002,에쓰씨엔지니어링,-4.03,-9.07
1003,에이디칩스,14.0,43.05
1004,에이디테크놀로지,-12.19,-172.66
1005,에이블씨엔씨,0.5,27.26
1006,에이스침대,6.04,15.1
1007,에이스테크,-10.11,-64.54
1008,에이씨티,-10.33,-54.33
1009,에이엔피,-1.55,-11.62
1010,에이치시티,0.0,26.6
1011,에이치엔티,0.0,21.01
1012,에이치엘비,-12.22,-91.05
1013,에이치엘비생명과학,-9.74,131.34
1014,에이치엘비파워,-8.84,-3.05
1015,에이치엘사이언스,0.0,37.21
1016,에이치엠씨3호스팩,-0.11,99.24
1017,에이치케이,-0.71,22.33
1018,에이테크솔루션,2.9,-185.97
1019,에이텍,6.46,9.98
1020,에이텍티앤,2.21,27.8
1021,에이티넘인베스트,6.57,46.46
1022,에이티세미콘,10.81,50.01
1023,에이티젠,-23.32,-55.53
1024,에이티테크놀러지,-14.12,-6.13
1025,에임하이,-10.49,-7.71
1026,에치디프로,-8.78,-18.7
1027,에코마케팅,0.0,21.28
1028,에코바이오,8.11,-10.93
1029,에코프로,3.46,-93.97
1030,에코플라스틱,-4.71,-493.3
1031,에프알텍,-11.67,-16.83
1032,에프에스티,11.49,12.8
1033,에프엔씨애드컬쳐,-3.19,-24.89
1034,에프엔씨엔터,5.45,-18.48
1035,에프티이앤이,7.75,1080.1
1036,엑사이엔씨,3.64,-9.18
1037,엑세스바이오,-1.15,-35.67
1038,엑셈,-6.14,72.65
1039,엑시콘,1.53,7.28
1040,엔브이에이치코리아,3.66,4.99
1041,엔씨소프트,11.71,25.28
1042,엔에스,0.0,67.11
1043,엔에스쇼핑,9.68,11.94
1044,엔에이치스팩11호,0.0,449.63
1045,엔에이치스팩7호,-0.29,0.0
1046,엔지스테크널러지,0.0,-174.44
1047,엔케이,-5.64,-7.16
1048,엔터메이트,-1.75,-10.43
1049,엔텔스,2.38,-97.63
1050,엔피케이,-2.37,13.19
1051,엘디티,-6.21,-15.5
1052,엘비세미콘,6.66,15.44
1053,엘아이에스,-26.73,-16.04
1054,엘앤에프,10.3,54.33
1055,엘앤케이바이오,0.0,-59.28
1056,엘엠에스,5.74,5.11
1057,엘오티베큠,1.14,8.3
1058,엘컴텍,2.89,34.95
1059,엘티씨,3.99,34.57
1060,엠게임,1.1,56.22
1061,엠벤처투자,1.29,-13.99
1062,엠씨넥스,-3.46,-113.02
1063,엠에스씨,11.38,8.93
1064,엠에스오토텍,4.15,7.11
1065,엠젠플러스,-9.15,-52.28
1066,엠케이전자,11.74,5.26
1067,연우,9.68,34.23
1068,연이정보통신,7.99,-7.48
1069,영보화학,9.13,3.17
1070,영신금속,1.59,-6.52
1071,영우디에스피,28.38,6.22
1072,영원무역,8.98,11.94
1073,영원무역홀딩스,7.7,10.53
1074,영인프런티어,3.89,26.51
1075,영진약품,4.83,636.87
1076,영풍,0.85,8.71
1077,영풍정밀,2.21,13.38
1078,영풍제지,6.17,104.38
1079,영화금속,4.26,12.17
1080,영흥철강,-1.57,173.16
1081,예림당,28.11,13.54
1082,예스24,4.02,378.93
1083,예스코,-2.92,9.36
1084,예스티,5.99,10.7
1085,오가닉티코스메틱,44.06,5.11
1086,오공,8.53,10.83
1087,오디텍,8.57,11.81
1088,오뚜기,11.44,19.28
1089,오로라,5.48,13.86
1090,오르비텍,4.94,29.97
1091,오리엔탈정공,-1.63,-2.46
1092,오리엔트바이오,0.0,-11.15
1093,오리엔트정공,-5.49,-9.69
1094,오리온,13.43,237.12
1095,오리콤,2.48,23.82
1096,오상자이엘,3.65,-6967.7
1097,오성엘에스티,0.64,-33.93
1098,오션브릿지,0.0,13.23
1099,오스코텍,-6.25,-550.66
1100,오스템,1.52,29.18
1101,오스템임플란트,10.5,39.54
1102,오이솔루션,-0.22,18.99
1103,오킨스전자,-14.95,-8.09
1104,오텍,8.61,14.36
1105,오픈베이스,8.34,352.87
1106,옴니시스템,5.14,27.86
1107,옴니텔,-7.0,-19.42
1108,옵토팩,0.0,-10.69
1109,옵트론텍,5.83,19.97
1110,옵티시스,2.26,19.02
1111,와이디온라인,-36.52,-10.35
1112,와이비로드,-0.02,-17.97
1113,와이비엠넷,-2.14,-9.25
1114,와이솔,14.91,8.4
1115,와이엔텍,0.0,11.96
1116,와이엠씨,7.61,12.21
1117,와이오엠,-3.89,-13.24
1118,와이제이엠게임즈,-1.47,-42.18
1119,와이지엔터테인먼트,10.63,27.65
1120,와이지-원,7.34,17.13
1121,와토스코리아,2.85,16.08
1122,완리,13.26,4.86
1123,용평리조트,5.48,29.33
1124,우노앤컴퍼니,3.87,41.86
1125,우리기술,-5.66,6.68
1126,우리기술투자,-2.4,128.11
1127,우리넷,-8.14,16.15
1128,우리들제약,4.49,25.96
1129,우리들휴브레인,-13.94,-8.41
1130,우리로,-0.62,-24.75
1131,우리산업,9.47,30.06
1132,우리산업홀딩스,7.59,34.78
1133,우리손에프앤지,0.0,6.94
1134,우리은행,0.57,7.49
1135,우리이앤엘,-1.36,-8.56
1136,우리이티아이,0.03,-7.14
1137,우리조명,-0.4,-7.93
1138,우리종금,1.35,19.75
1139,우림기계,1.26,104.2
1140,우성사료,0.97,383.16
1141,우성아이비,0.32,-10.12
1142,우수AMS,5.76,11.39
1143,우신시스템,2.0,29.03
1144,우원개발,0.28,16.18
1145,우주일렉트로,9.66,11.35
1146,우진,0.71,21.13
1147,우진비앤지,-0.34,-18.32
1148,우진플라임,4.49,8.03
1149,웅진,-0.58,-106.45
1150,웅진씽크빅,5.49,10.54
1151,웅진에너지,-10.82,-3.84
1152,원림,1.08,17.34
1153,원익,0.57,4.0
1154,원익IPS,16.7,15.5
1155,원익QnC,7.76,13.7
1156,원익머트리얼즈,10.44,19.88
1157,원익큐브,1.59,30.28
1158,원익홀딩스,4.65,9.22
1159,원일특강,1.35,6.99
1160,원풍,6.84,15.7
1161,원풍물산,3.1,-142.13
1162,월덱스,3.51,15.77
1163,웨이브일렉트로,-1.25,2767.97
1164,웰크론,-3.45,88.63
1165,웰크론강원,-11.86,12.34
1166,웰크론한텍,-4.65,11.46
1167,웹스,1.02,147.02
1168,웹젠,13.92,32.26
1169,위노바,-4.22,-1.85
1170,위닉스,-4.6,51.53
1171,위메이드,3.69,-244.53
1172,위즈코프,3.76,26.73
1173,위지트,6.11,20.13
1174,윈스,10.74,21.21
1175,윈팩,-13.78,-10.91
1176,윈하이텍,0.91,31.5
1177,윌비스,0.01,33.65
1178,유나이티드제약,10.83,21.26
1179,유니드,5.33,7.56
1180,유니셈,10.96,12.34
1181,유니슨,-3.49,-21.49
1182,유니온,0.38,44.68
1183,유니온커뮤니티,0.0,19.59
1184,유니켐,4.18,26.96
1185,유니퀘스트,4.12,22.61
1186,유니크,2.45,28.97
1187,유니테스트,33.33,12.48
1188,유니테크노,16.71,23.44
1189,유니트론텍,11.04,10.46
1190,유라테크,3.87,14.29
1191,유바이오로직스,-48.08,-41.6
1192,유비벨록스,3.14,93.91
1193,유비케어,14.62,40.41
1194,유비쿼스,8.12,17.61
1195,유성기업,-1.66,8.28
1196,유성티엔에스,4.32,7.51
1197,유수홀딩스,-8.32,146.57
1198,유신,-0.49,12.15
1199,유아이디,-1.52,-6.08
1200,유아이엘,8.72,5.55
1201,유안타제2호스팩,-0.19,139.68
1202,유안타증권,0.27,21.23
1203,유앤아이,6.12,-21.34
1204,유양디앤유,0.65,-60.3
1205,유엔젤,-5.12,-23.61
1206,유유제약,0.0,13.67
1207,유지인트,-0.87,-12.83
1208,유진기업,6.36,7.89
1209,유진로봇,-1.81,-65.24
1210,유진스팩3호,-0.26,111.76
1211,유진에이씨피씨스팩2호,-0.4,119.95
1212,유진테크,14.3,30.01
1213,유진투자증권,0.81,7.86
1214,유테크,-12.43,-4.74
1215,유한양행,4.96,19.36
1216,유화증권,0.72,21.14
1217,육일씨엔에쓰,-2.71,-11.88
1218,율촌화학,3.32,17.47
1219,이건산업,3.55,28.2
1220,이구산업,2.79,16.07
1221,이그잭스,0.6,-10.3
1222,이-글 벳,0.94,19.25
1223,이글루시큐리티,-3.84,18.18
1224,이노션,6.07,22.29
1225,이노와이어리스,-9.15,-12.46
1226,이녹스,7.4,0.75
1227,이니텍,13.44,27.71
1228,이디,-7.24,-4.85
1229,이라이콤,-0.53,11.23
1230,이랜텍,6.51,16.67
1231,이루온,-13.28,197.5
1232,이마트,5.8,13.01
1233,이매진아시아,-6.8,-7.71
1234,이미지스,0.15,-11.64
1235,이베스트스팩3호,-0.17,127.11
1236,이베스트투자증권,0.62,12.26
1237,이상네트웍스,5.46,13.22
1238,이수앱지스,0.43,-101.98
1239,이수페타시스,2.11,-19.66
1240,이수화학,6.41,-47.57
1241,이스타코,-4.3,-11.26
1242,이스트소프트,-10.9,-52.33
1243,이스트아시아홀딩스,6.53,-5.01
1244,이씨에스,0.0,13.63
1245,이아이디,-8.18,14.57
1246,이에스브이,-10.09,-7.38
1247,이에스에이,-59.07,-6.13
1248,이엔에프테크놀로지,18.32,11.51
1249,이엘케이,-12.45,-2.25
1250,이엠넷,5.32,12.69
1251,이엠코리아,-2.79,-33.51
1252,이엠텍,6.81,32.84
1253,이연제약,5.51,30.67
1254,이오테크닉스,8.62,24.02
1255,이원컴포텍,-12.62,-30.38
1256,이월드,-0.3,33.44
1257,이젠텍,-16.03,-6.77
1258,이지바이오,6.11,15.49
1259,이지웰페어,-2.3,275.88
1260,이크레더블,15.53,16.26
1261,이테크건설,4.98,10.36
1262,이트론,-13.89,-9.13
1263,이퓨쳐,-0.37,-178.48
1264,이화공영,1.49,62.3
1265,이화산업,0.0,-51.27
1266,이화전기,-5.87,43.1
1267,인디에프,-11.4,-8.99
1268,인바디,19.81,34.35
1269,인베니아,19.46,10.08
1270,인선이엔티,5.46,63.79
1271,인성정보,4.89,350.38
1272,인스코비,-5.74,-41.95
1273,인지디스플레,6.36,10.1
1274,인지컨트롤스,3.44,15.61
1275,인천도시가스,-2.68,11.83
1276,인콘,-4.79,113.25
1277,인크로스,0.0,28.71
1278,인탑스,6.68,7.82
1279,인터로조,25.58,26.36
1280,인터불스,-9.08,-6.73
1281,인터엠,-1.0,29.57
1282,인터지스,1.03,9.76
1283,인터파크,4.82,84.39
1284,인터파크홀딩스,2.36,-3.74
1285,인터플렉스,5.97,-145.65
1286,인텍플러스,1.47,-247.49
1287,인텔리안테크,0.0,19.2
1288,인트로메딕,-2.73,-12.39
1289,인트론바이오,-3.53,-282.79
1290,인팩,3.34,79.8
1291,인포마크,0.15,-29.44
1292,인포바인,17.36,8.05
1293,인포뱅크,3.58,33.5
1294,인프라웨어,-44.58,-3.23
1295,인피니트헬스케어,9.59,44.02
1296,인화정공,-0.58,3.62
1297,일경산업개발,-3.12,-1.6
1298,일동제약,0.0,23.09
1299,일동홀딩스,-1.52,-76.91
1300,일성건설,2.52,17.81
1301,일성신약,0.75,85.68
1302,일신바이오,6.54,42.56
1303,일신방직,1.66,15.27
1304,일신석재,-4.94,80.89
1305,일야,8.26,-12.25
1306,일양약품,4.72,205.7
1307,일정실업,2.83,-34.33
1308,일지테크,4.87,4.11
1309,일진다이아,5.22,48.52
1310,일진디스플,-13.15,-9.6
1311,일진머티리얼즈,6.63,32.41
1312,일진전기,-1.97,23.49
1313,일진파워,8.0,6.87
1314,일진홀딩스,-1.55,-17.3
1315,잉크테크,0.37,-6.2
1316,자연과환경,-4.64,-7.96
1317,자이글,0.0,18.55
1318,자화전자,5.3,19.41
1319,장원테크,0.0,-29.64
1320,재영솔루텍,-5.99,-4.67
1321,전방,-1.73,-1.64
1322,전파기지국,1.04,13.81
1323,정다운,3.39,7.77
1324,정산애강,7.76,17.14
1325,정상제이엘에스,9.89,15.31
1326,정원엔시스,5.23,34.27
1327,제낙스,-6.77,-169.97
1328,제너셈,-9.09,-3105.75
1329,제넥신,-14.1,-89.03
1330,제노포커스,6.47,100.54
1331,제닉,5.83,-21.42
1332,제로투세븐,-6.91,-7.13
1333,제룡산업,6.47,7.73
1334,제룡전기,-11.15,76.24
1335,제미니투자,0.0,-10.72
1336,제우스,9.88,6.49
1337,제이브이엠,4.1,27.06
1338,제이스테판,-0.48,-6.9
1339,제이스텍,17.05,3.88
1340,제이씨케미칼,7.72,16.36
1341,제이씨현시스템,8.72,19.08
1342,제이에스코퍼레이션,8.45,15.41
1343,제이에스티나,2.68,5455.44
1344,제이엔케이히터,-4.4,20.68
1345,제이엠아이,6.73,32.36
1346,제이엠티,0.09,15.95
1347,제이웨이,-4.13,-7.86
1348,제이콘텐트리,12.49,81.92
1349,제이티,-10.94,-2.86
1350,제일기획,6.14,19.84
1351,제일바이오,1.56,72.98
1352,제일약품,1.18,1111.28
1353,제일연마,6.37,13.02
1354,제일제강,1.16,32.13
1355,제일테크노스,0.09,9.78
1356,제주반도체,1.87,179.05
1357,제주은행,0.38,5.15
1358,제주항공,28.21,14.29
1359,젬백스,-6.55,98.18
1360,젬백스테크놀러지,-11.34,-17.38
1361,조광ILI,10.42,16.36
1362,조광페인트,6.29,17.49
1363,조광피혁,15.8,11.36
1364,조비,-5.78,42.87
1365,조선내화,4.31,11.73
1366,조선선재,15.38,6.94
1367,조아제약,0.77,272.07
1368,조이맥스,-3.05,-32.87
1369,조이시티,6.6,-16.08
1370,조일알미늄,-1.17,-40.37
1371,조흥,8.49,12.85
1372,종근당,14.31,27.11
1373,종근당바이오,5.78,13.85
1374,종근당홀딩스,4.41,10.7
1375,좋은사람들,-1.45,-18.84
1376,주성엔지니어링,10.65,13.45
1377,주연테크,-0.84,-11.98
1378,중앙백신,12.03,23.35
1379,중앙에너비스,4.93,25.52
1380,중앙오션,3.82,-10.85
1381,지디,-8.29,-1.55
1382,지란지교시큐리티,0.0,-21.01
1383,지스마트글로벌,24.07,31.06
1384,지어소프트,-13.4,-12.06
1385,지에스이,0.02,9.6
1386,지엔씨에너지,14.62,14.51
1387,지엔코,-1.92,-38.71
1388,지엘팜텍,0.0,-37.92
1389,지엠비코리아,2.3,11.35
1390,지엠피,1.85,-7.87
1391,지역난방공사,-3.95,10.11
1392,지코,-7.26,-6.83
1393,지투알,1.21,12.99
1394,지트리비앤티,-6.64,-178.69
1395,진도,5.92,8.21
1396,진로발효,16.93,15.2
1397,진매트릭스,-8.42,-13.04
1398,진바이오텍,8.77,11.84
1399,진성티이씨,7.24,23.32
1400,진양산업,7.81,46.12
1401,진양제약,-1.91,-9.6
1402,진양폴리,1.87,4.4
1403,진양홀딩스,3.04,18.13
1404,진양화학,-0.81,780.0
1405,진원생명과학,-21.04,-7.37
1406,진흥기업,19.01,-6.05
1407,차바이오텍,3.3,-263.72
1408,차이나그레이트,9.54,-6.58
1409,차이나하오란,11.75,2.49
1410,참엔지니어링,2.01,11.29
1411,창해에탄올,1.76,-152.61
1412,천일고속,2.77,4.9
1413,청담러닝,5.13,-6.19
1414,청보산업,-2.23,-128.35
1415,청호컴넷,-12.81,-18.2
1416,체시스,3.9,-10.36
1417,초록뱀,11.49,17.58
1418,칩스앤미디어,13.85,79.19
1419,카스,4.74,-48.16
1420,카카오,2.32,78.88
1421,카프로,0.87,53.94
1422,캐스텍코리아,4.9,11.21
1423,캠시스,0.07,-12.6
1424,컴투스,24.04,13.6
1425,케어젠,3.16,37.28
1426,케이디켐,10.71,8.51
1427,케이맥,12.16,20.54
1428,케이비제10호스팩,0.0,-649.63
1429,케이비제8호스팩,-0.3,162.3
1430,케이비제9호스팩,-0.27,111.48
1431,케이사인,5.58,45.07
1432,케이씨에스,3.57,61.29
1433,케이씨티,2.83,16.71
1434,케이씨피드,1.09,35.92
1435,케이아이엔엑스,16.57,14.31
1436,케이에스피,-16.67,-3.06
1437,케이엔더블유,-1.85,-16.01
1438,케이엘넷,-4.3,29.83
1439,케이엠,3.61,14.22
1440,케이엠더블유,-7.53,-143.3
1441,케이티스,6.86,12.13
1442,케이프,0.85,-6.36
1443,케이피에프,3.13,11.29
1444,케이피엠테크,-11.48,-11.2
1445,케이피티,0.25,5.2
1446,켐트로닉스,2.35,-9.59
1447,코나아이,-3.85,-38.72
1448,코닉글로리,10.18,63.98
1449,코다코,6.44,15.3
1450,코데즈컴바인,4.02,56.08
1451,코디,-13.24,-1.11
1452,코디엠,-16.58,-13.83
1453,코라오홀딩스,1.93,6.97
1454,코렌,-7.13,-2.59
1455,코렌텍,0.34,131.56
1456,코리아나,0.98,96.46
1457,코리아써키트,0.03,22.59
1458,코리아에스이,1.88,8.83
1459,코리아에프티,0.25,15.84
1460,코리아오토글라스,7.16,7.34
1461,코리안리,1.72,7.93
1462,코맥스,9.72,12.04
1463,코메론,14.27,7.05
1464,코미팜,-0.02,23333.05
1465,코센,-2.65,172.55
1466,코스맥스,8.94,54.33
1467,코스맥스비티아이,4.67,47.28
1468,코스메카코리아,0.0,30.24
1469,코스모신소재,2.58,44.57
1470,코스모화학,-3.44,-23.4
1471,코스온,8.19,36.49
1472,코아스,1.23,-9.08
1473,코아스템,5.28,-73.92
1474,코아시아홀딩스,5.13,33.26
1475,코엔텍,10.77,14.32
1476,코오롱,3.74,25.1
1477,코오롱글로벌,2.79,23.97
1478,코오롱머티리얼,-4.96,-7.61
1479,코오롱생명과학,3.35,208.34
1480,코오롱인더,3.83,14.6
1481,코오롱플라스틱,6.81,14.98
1482,코웨이,22.27,21.12
1483,코웰패션,12.86,15.09
1484,코위버,4.38,12.86
1485,코이즈,-1.26,-19.83
1486,코콤,9.23,13.48
1487,코텍,14.17,7.58
1488,코프라,11.18,10.88
1489,콜마비앤에이치,20.87,24.88
1490,콤텍시스템,3.15,5.65
1491,쿠첸,7.12,-36.91
1492,큐렉소,-89.29,-164.47
1493,큐로컴,-6.28,-62.69
1494,큐로홀딩스,-4.66,-6.6
1495,큐리언트,-31.26,-28.01
1496,큐브엔터,-6.9,-11.58
1497,큐에스아이,0.58,25.01
1498,큐캐피탈,-1.25,59.58
1499,크라운제과,7.54,20.79
1500,크로바하이텍,3.75,87.73
1501,크루셜텍,0.69,-5.64
1502,크리스탈,-1.35,-114.39
1503,크리스탈신소재,17.6,5.67
1504,크린앤사이언스,7.97,22.28
1505,클리오,0.0,45.89
1506,키움스팩3호,-0.75,246.69
1507,키움스팩4호,-0.6,101.53
1508,키움증권,2.6,11.52
1509,키위미디어그룹,-10.61,-9.36
1510,키이스트,4.7,-31.37
1511,타이거일렉,5.74,13.21
1512,탑엔지니어링,7.28,5.79
1513,태경산업,3.37,14.13
1514,태경화학,3.36,17.06
1515,태광,0.13,-56.43
1516,태광산업,3.35,12.93
1517,태림포장,3.15,-3.58
1518,태양,10.13,10.43
1519,태양금속,1.57,6.67
1520,태양씨앤엘,-14.19,-2.37
1521,태영건설,3.86,7.94
1522,태웅,2.24,117.61
1523,태원물산,2.93,38.44
1524,태평양물산,-19.11,43.5
1525,테고사이언스,11.25,-175.08
1526,테라세미콘,31.98,6.07
1527,테라셈,-24.13,-5.9
1528,테라젠이텍스,1.31,-300.12
1529,테스,22.23,13.17
1530,테스나,-0.82,15.56
1531,테크윙,8.04,22.03
1532,텍셀네트컴,5.3,13.59
1533,텔레칩스,0.0,18.0
1534,텔레필드,-13.51,-8.66
1535,텔코웨어,5.09,15.01
1536,텔콘,-13.9,-50.64
1537,토니모리,17.05,-5074.52
1538,토비스,9.14,9.53
1539,토탈소프트,16.75,31.12
1540,토필드,-1.75,-2.8
1541,톱텍,6.72,6.4
1542,투비소프트,-3.02,-3833.89
1543,트레이스,-8.31,-5.59
1544,트루윈,-0.75,-1.92
1545,특수건설,-4.47,-6.0
1546,티비씨,-2.49,16.24
1547,티씨케이,25.17,26.44
1548,티에스이,-6.32,16.73
1549,티에스인베스트먼트,20.75,148.07
1550,티에이치엔,3.98,3.82
1551,티엘아이,-2.92,-30.3
1552,티웨이홀딩스,36.19,14.13
1553,티케이케미칼,0.29,9.44
1554,티플랙스,2.13,15.63
1555,티피씨글로벌,2.98,10.61
1556,팀스,1.68,381.35
1557,팅크웨어,3.51,17.44
1558,파나진,-3.65,-192.57
1559,파라다이스,2.0,-1259.92
1560,파라텍,8.23,10.23
1561,파루,3.85,-10.22
1562,파마리서치프로덕트,0.0,44.19
1563,파미셀,0.89,-101.84
1564,파버나인,8.82,19.33
1565,파세코,9.38,24.88
1566,파수닷컴,-6.97,-7.04
1567,파워로직스,1.0,9.84
1568,파이오링크,-3.24,-20.34
1569,파인디앤씨,3.73,-13.29
1570,파인디지털,-4.32,63.58
1571,파인테크닉스,-1.57,35.37
1572,파인텍,-3.08,-5.58
1573,파크시스템스,-16.19,53.18
1574,파트론,2.02,91.47
1575,파티게임즈,-14.96,-10.37
1576,팍스넷,7.69,49.76
1577,판타지오,-6.91,-25.65
1578,팜스웰바이오,-13.4,-76.16
1579,팜스코,6.2,19.42
1580,팜스토리,5.5,14.11
1581,팬스타엔터프라이즈,-5.41,-399.57
1582,팬엔터테인먼트,10.26,-44.86
1583,팬오션,3.64,49.49
1584,팬젠,-19.78,-51.56
1585,퍼스텍,-0.66,38.56
1586,퍼시스,2.24,12.55
1587,퍼시픽바이오,5.89,-18.25
1588,페이퍼코리아,8.97,-1.57
1589,펩트론,-5.61,-144.8
1590,평화산업,-2.13,-41.62
1591,평화정공,4.1,2.45
1592,평화홀딩스,1.58,119.97
1593,포메탈,3.87,21.53
1594,포비스티앤씨,-4.47,37.71
1595,포스링크,-6.14,-22.54
1596,포스코 ICT,7.85,29.31
1597,포스코강판,11.1,8.93
1598,포스코대우,3.54,31.74
1599,포스코엠텍,9.84,65.17
1600,포스코켐텍,13.63,31.43
1601,포시에스,0.35,20.72
1602,포티스,1.28,-5.35
1603,폭스브레인,-9.36,-5.53
1604,푸드웰,-0.42,15.5
1605,푸른기술,-1.4,195.12
1606,푸른저축은행,3.42,5.21
1607,풀무원,1.37,15.0
1608,풀무원,3.34,15.0
1609,풍강,5.76,12.22
1610,풍국주정,6.43,14.22
1611,풍산,8.77,9.03
1612,풍산홀딩스,9.98,6.13
1613,퓨전데이타,0.0,-21.25
1614,퓨쳐스트림네트웍스,0.0,367.69
