"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바라며, 외부 공개시에는 반드시 신고일 기준으로 집계되면 공식통계를 이용하여 주시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190130 ~ 20190228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"서울특별시 강동구 강일동","673","0673","0000","강일리버파크4단지","84.83","201902","11~20","60,000","4","2009","아리수로97길"
"서울특별시 강동구 강일동","701","0701","0000","강일리버파크8단지","84.83","201902","1~10","67,000","7","2009","아리수로94길"
"서울특별시 강동구 고덕동","688","0688","0000","고덕래미안 힐스테이트아파트","84.94","201902","11~20","114,500","28","2016","아리수로50길"
"서울특별시 강동구 고덕동","688","0688","0000","고덕래미안 힐스테이트아파트","84.94","201902","21~28","107,000","32","2016","아리수로50길"
"서울특별시 강동구 길동","456-3","0456","0003","강동큐브","12.49","201902","11~20","12,000","9","2013","천호대로175길"
"서울특별시 강동구 길동","456-4","0456","0004","다성이즈빌","23.39","201902","1~10","38,800","12","2018","천호대로175길"
"서울특별시 강동구 길동","456-4","0456","0004","다성이즈빌","23.39","201902","11~20","38,400","8","2018","천호대로175길"
"서울특별시 강동구 길동","456-4","0456","0004","다성이즈빌","15.96","201902","11~20","15,800","15","2018","천호대로175길"
"서울특별시 강동구 길동","349-1","0349","0001","다성이즈빌(349-1)","18.16","201902","1~10","14,500","3","2012","천중로"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","22.21","201902","1~10","28,000","8","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","32.4","201902","1~10","38,700","9","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","14.75","201902","1~10","17,000","16","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","14.45","201902","1~10","15,800","16","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","14.45","201902","1~10","15,500","7","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","32.4","201902","1~10","38,900","15","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","14.45","201902","1~10","15,700","13","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","14.75","201902","11~20","17,000","14","2018","천중로42길"
"서울특별시 강동구 길동","387-4","0387","0004","다성이즈빌(387-4)","14.45","201902","11~20","15,500","9","2018","천중로42길"
"서울특별시 강동구 길동","383-7","0383","0007","다오아트빌","74.47","201902","11~20","41,500","7","2001","성안로"
"서울특별시 강동구 길동","365-1","0365","0001","라인","59.94","201902","11~20","44,000","11","1998","천중로50길"
"서울특별시 강동구 길동","160","0160","0000","신동아","60.39","201902","21~28","48,000","12","1983","천중로"
"서울특별시 강동구 길동","332","0332","0000","한전우성1","81.54","201902","11~20","52,000","9","1989","천중로49길"
"서울특별시 강동구 둔촌동","435-3","0435","0003","광남캐스빌103동","84.75","201902","21~28","60,000","2","2004","양재대로102길"
"서울특별시 강동구 둔촌동","170-1","0170","0001","둔촌주공1단지","88.43","201901","21~31","150,000","4","1980","양재대로"
"서울특별시 강동구 둔촌동","174-1","0174","0001","둔촌주공3단지","70.87","201902","11~20","123,000","2","1980","양재대로"
"서울특별시 강동구 둔촌동","170-1","0170","0001","둔촌주공4단지","97.72","201901","21~31","135,000","5","1980","양재대로"
"서울특별시 강동구 둔촌동","170-1","0170","0001","둔촌주공4단지","99.61","201902","21~28","148,000","1","1980","양재대로"
"서울특별시 강동구 둔촌동","546","0546","0000","신성둔촌미소지움1","109.73","201902","11~20","77,000","15","1998","명일로"
