,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
368,Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,"December 18, 2009","October 15, 2018"
369,RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,"December 18, 2009","February 1, 2019"
370,SolutionsBank,Overland Park,KS,4731,Arvest Bank,"December 11, 2009","January 3, 2018"
371,"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,"December 11, 2009","October 20, 2016"
372,"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,"December 11, 2009","February 1, 2019"
373,Greater Atlantic Bank,Reston,VA,32583,Sonabank,"December 4, 2009","February 1, 2019"
374,Benchmark Bank,Aurora,IL,10440,"MB Financial Bank, N.A.","December 4, 2009","February 1, 2019"
375,AmTrust Bank,Cleveland,OH,29776,New York Community Bank,"December 4, 2009","February 1, 2019"
376,The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,"December 4, 2009","March 21, 2014"
377,First Security National Bank,Norcross,GA,26290,State Bank and Trust Company,"December 4, 2009","October 17, 2015"
378,The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,"December 4, 2009","February 1, 2019"
379,Commerce Bank of Southwest Florida,Fort Myers,FL,58016,Central Bank,"November 20, 2009","December 21, 2017"
380,Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,"November 13, 2009","April 10, 2017"
381,Orion Bank,Naples,FL,22427,IBERIABANK,"November 13, 2009","February 1, 2019"
382,"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,"November 13, 2009","February 1, 2019"
383,United Commercial Bank,San Francisco,CA,32469,East West Bank,"November 6, 2009","February 1, 2019"
384,Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,"November 6, 2009","August 22, 2012"
385,Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.","November 6, 2009","February 1, 2019"
386,Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,"November 6, 2009","February 1, 2019"
387,United Security Bank,Sparta,GA,22286,Ameris Bank,"November 6, 2009","February 1, 2019"
388,North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
389,Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,"October 30, 2009","April 9, 2019"
390,Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
391,Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
392,Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
393,California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
394,San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
395,Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
396,"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,"October 30, 2009","February 1, 2019"
397,First DuPage Bank,Westmont,IL,35038,First Midwest Bank,"October 23, 2009","February 1, 2019"
398,Riverview Community Bank,Otsego,MN,57525,Central Bank,"October 23, 2009","December 21, 2017"
399,Bank of Elmwood,Racine,WI,18321,Tri City National Bank,"October 23, 2009","August 22, 2012"
400,Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,"October 23, 2009","February 5, 2015"
401,Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,"October 23, 2009","February 1, 2019"
402,American United Bank,Lawrenceville,GA,57794,Ameris Bank,"October 23, 2009","July 16, 2018"
403,Partners Bank,Naples,FL,57959,Stonegate Bank,"October 23, 2009","February 5, 2015"
404,San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,"October 16, 2009","February 1, 2019"
405,Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,"October 2, 2009","December 12, 2016"
406,Jennings State Bank,Spring Grove,MN,11416,Central Bank,"October 2, 2009","November 15, 2017"
407,Warren Bank,Warren,MI,34824,The Huntington National Bank,"October 2, 2009","February 1, 2019"
408,Georgian Bank,Atlanta,GA,57151,"First Citizens Bank and Trust Company, Inc.","September 25, 2009","February 1, 2019"
409,"Irwin Union Bank, F.S.B.",Louisville,KY,57068,"First Financial Bank, N.A.","September 18, 2009","February 1, 2019"
410,Irwin Union Bank and Trust Company,Columbus,IN,10100,"First Financial Bank, N.A.","September 18, 2009","February 1, 2019"
411,Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,"September 11, 2009","February 1, 2019"
412,Brickwell Community Bank,Woodbury,MN,57736,CorTrust Bank N.A.,"September 11, 2009","October 20, 2016"
413,"Corus Bank, N.A.",Chicago,IL,13693,"MB Financial Bank, N.A.","September 11, 2009","February 1, 2019"
414,First State Bank,Flagstaff,AZ,34875,Sunwest Bank,"September 4, 2009","February 5, 2015"
415,Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,"September 4, 2009","February 1, 2019"
416,Vantus Bank,Sioux City,IA,27732,Great Southern Bank,"September 4, 2009","February 1, 2019"
417,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.","September 4, 2009","October 17, 2015"
418,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,"September 4, 2009","August 21, 2012"
419,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,"August 28, 2009","February 1, 2019"
420,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,"August 28, 2009","February 21, 2018"
421,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),"August 28, 2009","February 1, 2019"
422,Guaranty Bank,Austin,TX,32618,BBVA Compass,"August 21, 2009","February 1, 2019"
423,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,"August 21, 2009","February 20, 2018"
424,First Coweta Bank,Newnan,GA,57702,United Bank,"August 21, 2009","December 7, 2015"
425,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.","August 21, 2009","February 1, 2019"
426,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,"August 14, 2009","February 1, 2019"
427,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,"August 14, 2009","February 1, 2019"
428,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,"August 14, 2009","February 1, 2019"
429,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)","August 14, 2009","February 1, 2019"
430,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.","August 14, 2009","February 1, 2019"
431,Community First Bank,Prineville,OR,23268,Home Federal Bank,"August 7, 2009","June 6, 2018"
432,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.","August 7, 2009","February 1, 2019"
433,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.","August 7, 2009","February 1, 2019"
434,Mutual Bank,Harvey,IL,18659,United Central Bank,"July 31, 2009","February 1, 2019"
435,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,"July 31, 2009","February 1, 2019"
436,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.","July 31, 2009","September 10, 2018"
437,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,"July 31, 2009","January 31, 2019"
438,First State Bank of Altus,Altus,OK,9873,Herring Bank,"July 31, 2009","February 1, 2019"
439,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
440,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,"July 24, 2009","October 17, 2015"
441,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,"July 24, 2009","January 31, 2019"
442,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,"July 24, 2009","January 6, 2016"
443,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
444,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,"July 24, 2009","October 23, 2017"
445,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.","July 24, 2009","November 1, 2013"
446,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,"July 17, 2009","October 20, 2016"
