,no,str
52,52,"동행복권 52회 당첨번호 2,4,15,16,20,29+1. 1등 총 4명, 1인당 당첨금액 3,900,844,900원."
53,53,"동행복권 53회 당첨번호 7,8,14,32,33,39+42. 1등 총 3명, 1인당 당첨금액 5,014,371,000원."
54,54,"동행복권 54회 당첨번호 1,8,21,27,36,39+37. 1등 총 3명, 1인당 당첨금액 5,148,626,600원."
55,55,"동행복권 55회 당첨번호 17,21,31,37,40,44+7. 1등 총 2명, 1인당 당첨금액 7,088,799,600원."
56,56,"동행복권 56회 당첨번호 10,14,30,31,33,37+19. 1등 총 4명, 1인당 당첨금액 3,777,570,900원."
57,57,"동행복권 57회 당첨번호 7,10,16,25,29,44+6. 1등 총 4명, 1인당 당첨금액 4,114,411,900원."
58,58,"동행복권 58회 당첨번호 10,24,25,33,40,44+1. 1등 총 4명, 1인당 당첨금액 3,676,429,200원."
59,59,"동행복권 59회 당첨번호 6,29,36,39,41,45+13. 1등 총 4명, 1인당 당첨금액 4,127,587,300원."
60,60,"동행복권 60회 당첨번호 2,8,25,36,39,42+11. 1등 총 7명, 1인당 당첨금액 2,172,504,600원."
61,61,"동행복권 61회 당첨번호 14,15,19,30,38,43+8. 1등 총 5명, 1인당 당첨금액 3,541,038,800원."
62,62,"동행복권 62회 당첨번호 3,8,15,27,29,35+21. 1등 총 1명, 1인당 당첨금액 15,817,286,400원."
63,63,"동행복권 63회 당첨번호 3,20,23,36,38,40+5. 1등 총 2명, 1인당 당첨금액 7,922,245,500원."
64,64,"동행복권 64회 당첨번호 14,15,18,21,26,36+39. 1등 총 4명, 1인당 당첨금액 3,899,818,000원."
65,65,"동행복권 65회 당첨번호 4,25,33,36,40,43+39. 1등 총 4명, 1인당 당첨금액 3,727,945,800원."
66,66,"동행복권 66회 당첨번호 2,3,7,17,22,24+45. 1등 총 4명, 1인당 당첨금액 3,685,138,200원."
67,67,"동행복권 67회 당첨번호 3,7,10,15,36,38+33. 1등 총 7명, 1인당 당첨금액 2,114,436,500원."
68,68,"동행복권 68회 당첨번호 10,12,15,16,26,39+38. 1등 총 5명, 1인당 당첨금액 2,945,882,100원."
69,69,"동행복권 69회 당첨번호 5,8,14,15,19,39+35. 1등 총 3명, 1인당 당첨금액 4,962,712,200원."
70,70,"동행복권 70회 당첨번호 5,19,22,25,28,43+26. 1등 총 3명, 1인당 당첨금액 5,031,277,800원."
71,71,"동행복권 71회 당첨번호 5,9,12,16,29,41+21. 1등 총 0명, 1인당 당첨금액 0원."
72,72,"동행복권 72회 당첨번호 2,4,11,17,26,27+1. 1등 총 13명, 1인당 당첨금액 3,260,524,600원."
73,73,"동행복권 73회 당첨번호 3,12,18,32,40,43+38. 1등 총 6명, 1인당 당첨금액 2,766,662,100원."
74,74,"동행복권 74회 당첨번호 6,15,17,18,35,40+23. 1등 총 3명, 1인당 당첨금액 5,284,949,800원."
75,75,"동행복권 75회 당첨번호 2,5,24,32,34,44+28. 1등 총 4명, 1인당 당첨금액 3,914,616,900원."
76,76,"동행복권 76회 당첨번호 1,3,15,22,25,37+43. 1등 총 2명, 1인당 당첨금액 7,451,022,600원."
77,77,"동행복권 77회 당첨번호 2,18,29,32,43,44+37. 1등 총 3명, 1인당 당첨금액 5,155,758,600원."
78,78,"동행복권 78회 당첨번호 10,13,25,29,33,35+38. 1등 총 4명, 1인당 당첨금액 3,519,850,000원."
79,79,"동행복권 79회 당첨번호 3,12,24,27,30,32+14. 1등 총 4명, 1인당 당첨금액 3,416,443,800원."
80,80,"동행복권 80회 당첨번호 17,18,24,25,26,30+1. 1등 총 1명, 1인당 당첨금액 13,809,540,000원."
81,81,"동행복권 81회 당첨번호 5,7,11,13,20,33+6. 1등 총 5명, 1인당 당첨금액 2,714,288,880원."
82,82,"동행복권 82회 당첨번호 1,2,3,14,27,42+39. 1등 총 1명, 1인당 당첨금액 14,562,494,400원."
83,83,"동행복권 83회 당첨번호 6,10,15,17,19,34+14. 1등 총 2명, 1인당 당첨금액 7,086,948,300원."
84,84,"동행복권 84회 당첨번호 16,23,27,34,42,45+11. 1등 총 2명, 1인당 당첨금액 7,669,779,000원."
85,85,"동행복권 85회 당첨번호 6,8,13,23,31,36+21. 1등 총 4명, 1인당 당첨금액 3,462,109,800원."
86,86,"동행복권 86회 당첨번호 2,12,37,39,41,45+33. 1등 총 1명, 1인당 당첨금액 14,252,186,400원."
87,87,"동행복권 87회 당첨번호 4,12,16,23,34,43+26. 1등 총 11명, 1인당 당첨금액 1,799,358,055원."
88,88,"동행복권 88회 당첨번호 1,17,20,24,30,41+27. 1등 총 4명, 1인당 당첨금액 3,069,709,650원."
89,89,"동행복권 89회 당첨번호 4,26,28,29,33,40+37. 1등 총 3명, 1인당 당첨금액 4,248,321,900원."
90,90,"동행복권 90회 당첨번호 17,20,29,35,38,44+10. 1등 총 4명, 1인당 당첨금액 3,291,435,300원."
91,91,"동행복권 91회 당첨번호 1,21,24,26,29,42+27. 1등 총 4명, 1인당 당첨금액 3,582,902,400원."
92,92,"동행복권 92회 당첨번호 3,14,24,33,35,36+17. 1등 총 11명, 1인당 당첨금액 1,233,270,846원."
93,93,"동행복권 93회 당첨번호 6,22,24,36,38,44+19. 1등 총 6명, 1인당 당첨금액 2,269,178,150원."
94,94,"동행복권 94회 당첨번호 5,32,34,40,41,45+6. 1등 총 6명, 1인당 당첨금액 2,245,339,950원."
95,95,"동행복권 95회 당첨번호 8,17,27,31,34,43+14. 1등 총 8명, 1인당 당첨금액 1,747,741,238원."
96,96,"동행복권 96회 당첨번호 1,3,8,21,22,31+20. 1등 총 7명, 1인당 당첨금액 1,847,133,515원."
97,97,"동행복권 97회 당첨번호 6,7,14,15,20,36+3. 1등 총 9명, 1인당 당첨금액 1,496,214,000원."
98,98,"동행복권 98회 당첨번호 6,9,16,23,24,32+43. 1등 총 4명, 1인당 당첨금액 3,177,972,300원."
99,99,"동행복권 99회 당첨번호 1,3,10,27,29,37+11. 1등 총 6명, 1인당 당첨금액 2,169,219,050원."
100,100,"동행복권 100회 당첨번호 1,7,11,23,37,42+6. 1등 총 4명, 1인당 당첨금액 3,315,315,525원."
101,101,"동행복권 101회 당첨번호 1,3,17,32,35,45+8. 1등 총 5명, 1인당 당첨금액 2,707,297,500원."
102,102,"동행복권 102회 당첨번호 17,22,24,26,35,40+42. 1등 총 9명, 1인당 당첨금액 1,457,153,067원."
103,103,"동행복권 103회 당첨번호 5,14,15,27,30,45+10. 1등 총 8명, 1인당 당첨금액 1,691,589,563원."
104,104,"동행복권 104회 당첨번호 17,32,33,34,42,44+35. 1등 총 2명, 1인당 당첨금액 6,610,743,750원."
105,105,"동행복권 105회 당첨번호 8,10,20,34,41,45+28. 1등 총 4명, 1인당 당첨금액 3,416,781,450원."
106,106,"동행복권 106회 당첨번호 4,10,12,22,24,33+29. 1등 총 16명, 1인당 당첨금액 810,461,157원."
107,107,"동행복권 107회 당첨번호 1,4,5,6,9,31+17. 1등 총 2명, 1인당 당첨금액 6,679,927,800원."
108,108,"동행복권 108회 당첨번호 7,18,22,23,29,44+12. 1등 총 7명, 1인당 당첨금액 1,998,900,772원."
109,109,"동행복권 109회 당첨번호 1,5,34,36,42,44+33. 1등 총 12명, 1인당 당첨금액 1,246,838,200원."
110,110,"동행복권 110회 당첨번호 7,20,22,23,29,43+1. 1등 총 3명, 1인당 당첨금액 4,566,262,000원."
111,111,"동행복권 111회 당첨번호 7,18,31,33,36,40+27. 1등 총 6명, 1인당 당첨금액 2,199,047,450원."
112,112,"동행복권 112회 당첨번호 26,29,30,33,41,42+43. 1등 총 9명, 1인당 당첨금액 1,567,271,167원."
113,113,"동행복권 113회 당첨번호 4,9,28,33,36,45+26. 1등 총 9명, 1인당 당첨금액 1,561,528,934원."
114,114,"동행복권 114회 당첨번호 11,14,19,26,28,41+2. 1등 총 6명, 1인당 당첨금액 2,362,345,050원."
115,115,"동행복권 115회 당첨번호 1,2,6,9,25,28+31. 1등 총 9명, 1인당 당첨금액 1,488,589,567원."
116,116,"동행복권 116회 당첨번호 2,4,25,31,34,37+17. 1등 총 7명, 1인당 당첨금액 1,997,747,315원."
117,117,"동행복권 117회 당첨번호 5,10,22,34,36,44+35. 1등 총 9명, 1인당 당첨금액 1,558,378,334원."
118,118,"동행복권 118회 당첨번호 3,4,10,17,19,22+38. 1등 총 10명, 1인당 당첨금액 1,297,989,720원."
119,119,"동행복권 119회 당첨번호 3,11,13,14,17,21+38. 1등 총 9명, 1인당 당첨금액 1,474,899,400원."
120,120,"동행복권 120회 당첨번호 4,6,10,11,32,37+30. 1등 총 3명, 1인당 당첨금액 4,364,530,300원."
121,121,"동행복권 121회 당첨번호 12,28,30,34,38,43+9. 1등 총 2명, 1인당 당첨금액 6,839,648,100원."
122,122,"동행복권 122회 당첨번호 1,11,16,17,36,40+8. 1등 총 9명, 1인당 당첨금액 1,450,073,800원."
123,123,"동행복권 123회 당첨번호 7,17,18,28,30,45+27. 1등 총 5명, 1인당 당첨금액 2,532,982,680원."
124,124,"동행복권 124회 당첨번호 4,16,23,25,29,42+1. 1등 총 9명, 1인당 당첨금액 1,395,936,267원."
125,125,"동행복권 125회 당첨번호 2,8,32,33,35,36+18. 1등 총 7명, 1인당 당첨금액 1,754,870,786원."
126,126,"동행복권 126회 당첨번호 7,20,22,27,40,43+1. 1등 총 9명, 1인당 당첨금액 1,369,301,500원."
127,127,"동행복권 127회 당첨번호 3,5,10,29,32,43+35. 1등 총 6명, 1인당 당첨금액 1,965,939,150원."
128,128,"동행복권 128회 당첨번호 12,30,34,36,37,45+39. 1등 총 6명, 1인당 당첨금액 2,064,043,100원."
129,129,"동행복권 129회 당첨번호 19,23,25,28,38,42+17. 1등 총 11명, 1인당 당첨금액 1,093,629,655원."
