,no,str
224,224,"동행복권 224회 당첨번호 4,19,26,27,30,42+7. 1등 총 6명, 1인당 당첨금액 1,808,969,950원."
225,225,"동행복권 225회 당첨번호 5,11,13,19,31,36+7. 1등 총 6명, 1인당 당첨금액 1,777,201,800원."
226,226,"동행복권 226회 당첨번호 2,6,8,14,21,22+34. 1등 총 6명, 1인당 당첨금액 1,744,100,150원."
227,227,"동행복권 227회 당첨번호 4,5,15,16,22,42+2. 1등 총 2명, 1인당 당첨금액 5,253,542,400원."
228,228,"동행복권 228회 당첨번호 17,25,35,36,39,44+23. 1등 총 9명, 1인당 당첨금액 1,146,700,334원."
229,229,"동행복권 229회 당첨번호 4,5,9,11,23,38+35. 1등 총 7명, 1인당 당첨금액 1,451,441,100원."
230,230,"동행복권 230회 당첨번호 5,11,14,29,32,33+12. 1등 총 8명, 1인당 당첨금액 1,292,929,163원."
231,231,"동행복권 231회 당첨번호 5,10,19,31,44,45+27. 1등 총 9명, 1인당 당첨금액 1,088,365,900원."
232,232,"동행복권 232회 당첨번호 8,9,10,12,24,44+35. 1등 총 9명, 1인당 당첨금액 1,110,918,400원."
233,233,"동행복권 233회 당첨번호 4,6,13,17,28,40+39. 1등 총 10명, 1인당 당첨금액 999,153,750원."
234,234,"동행복권 234회 당첨번호 13,21,22,24,26,37+4. 1등 총 4명, 1인당 당첨금액 2,519,743,875원."
235,235,"동행복권 235회 당첨번호 21,22,26,27,31,37+8. 1등 총 3명, 1인당 당첨금액 3,433,330,100원."
236,236,"동행복권 236회 당첨번호 1,4,8,13,37,39+7. 1등 총 2명, 1인당 당첨금액 5,030,040,150원."
237,237,"동행복권 237회 당첨번호 1,11,17,21,24,44+33. 1등 총 7명, 1인당 당첨금액 1,440,630,729원."
238,238,"동행복권 238회 당첨번호 2,4,15,28,31,34+35. 1등 총 9명, 1인당 당첨금액 1,121,660,567원."
239,239,"동행복권 239회 당첨번호 11,15,24,39,41,44+7. 1등 총 9명, 1인당 당첨금액 1,134,140,167원."
240,240,"동행복권 240회 당첨번호 6,10,16,40,41,43+21. 1등 총 2명, 1인당 당첨금액 5,098,251,450원."
241,241,"동행복권 241회 당첨번호 2,16,24,27,28,35+21. 1등 총 4명, 1인당 당첨금액 2,552,016,300원."
242,242,"동행복권 242회 당첨번호 4,19,20,21,32,34+43. 1등 총 8명, 1인당 당첨금액 1,234,542,375원."
243,243,"동행복권 243회 당첨번호 2,12,17,19,28,42+34. 1등 총 4명, 1인당 당첨금액 2,408,850,000원."
244,244,"동행복권 244회 당첨번호 13,16,25,36,37,38+19. 1등 총 1명, 1인당 당첨금액 9,121,583,100원."
245,245,"동행복권 245회 당첨번호 9,11,27,31,32,38+22. 1등 총 7명, 1인당 당첨금액 1,382,583,129원."
246,246,"동행복권 246회 당첨번호 13,18,21,23,26,39+15. 1등 총 5명, 1인당 당첨금액 1,911,774,240원."
247,247,"동행복권 247회 당첨번호 12,15,28,36,39,40+13. 1등 총 6명, 1인당 당첨금액 1,669,313,900원."
248,248,"동행복권 248회 당첨번호 3,8,17,23,38,45+13. 1등 총 8명, 1인당 당첨금액 1,227,479,363원."
249,249,"동행복권 249회 당첨번호 3,8,27,31,41,44+11. 1등 총 6명, 1인당 당첨금액 1,663,568,700원."
250,250,"동행복권 250회 당첨번호 19,23,30,37,43,45+38. 1등 총 5명, 1인당 당첨금액 1,994,726,280원."
251,251,"동행복권 251회 당첨번호 6,7,19,25,28,38+45. 1등 총 8명, 1인당 당첨금액 1,282,616,400원."
252,252,"동행복권 252회 당첨번호 14,23,26,31,39,45+28. 1등 총 7명, 1인당 당첨금액 1,391,089,715원."
253,253,"동행복권 253회 당첨번호 8,19,25,31,34,36+33. 1등 총 4명, 1인당 당첨금액 2,466,189,525원."
254,254,"동행복권 254회 당첨번호 1,5,19,20,24,30+27. 1등 총 1명, 1인당 당첨금액 9,741,015,900원."
255,255,"동행복권 255회 당첨번호 1,5,6,24,27,42+32. 1등 총 6명, 1인당 당첨금액 1,598,618,550원."
256,256,"동행복권 256회 당첨번호 4,11,14,21,23,43+32. 1등 총 2명, 1인당 당첨금액 4,891,017,000원."
257,257,"동행복권 257회 당첨번호 6,13,27,31,32,37+4. 1등 총 4명, 1인당 당첨금액 2,391,377,025원."
258,258,"동행복권 258회 당첨번호 14,27,30,31,38,40+17. 1등 총 4명, 1인당 당첨금액 2,426,434,350원."
259,259,"동행복권 259회 당첨번호 4,5,14,35,42,45+34. 1등 총 2명, 1인당 당첨금액 4,838,533,500원."
260,260,"동행복권 260회 당첨번호 7,12,15,24,37,40+43. 1등 총 4명, 1인당 당첨금액 2,310,085,575원."
261,261,"동행복권 261회 당첨번호 6,11,16,18,31,43+2. 1등 총 3명, 1인당 당첨금액 3,192,299,100원."
262,262,"동행복권 262회 당첨번호 9,12,24,25,29,31+36. 1등 총 2명, 1인당 당첨금액 4,518,741,600원."
263,263,"동행복권 263회 당첨번호 1,27,28,32,37,40+18. 1등 총 6명, 1인당 당첨금액 1,551,704,900원."
264,264,"동행복권 264회 당첨번호 9,16,27,36,41,44+5. 1등 총 7명, 1인당 당첨금액 1,344,889,200원."
265,265,"동행복권 265회 당첨번호 5,9,34,37,38,39+12. 1등 총 8명, 1인당 당첨금액 1,200,838,575원."
266,266,"동행복권 266회 당첨번호 3,4,9,11,22,42+37. 1등 총 3명, 1인당 당첨금액 3,207,211,700원."
267,267,"동행복권 267회 당첨번호 7,8,24,34,36,41+1. 1등 총 3명, 1인당 당첨금액 3,257,663,300원."
268,268,"동행복권 268회 당첨번호 3,10,19,24,32,45+12. 1등 총 7명, 1인당 당첨금액 1,350,954,515원."
269,269,"동행복권 269회 당첨번호 5,18,20,36,42,43+32. 1등 총 5명, 1인당 당첨금액 1,961,399,940원."
270,270,"동행복권 270회 당첨번호 5,9,12,20,21,26+27. 1등 총 5명, 1인당 당첨금액 1,927,830,060원."
271,271,"동행복권 271회 당첨번호 3,8,9,27,29,40+36. 1등 총 6명, 1인당 당첨금액 1,565,918,150원."
272,272,"동행복권 272회 당첨번호 7,9,12,27,39,43+28. 1등 총 9명, 1인당 당첨금액 1,104,622,800원."
273,273,"동행복권 273회 당첨번호 1,8,24,31,34,44+6. 1등 총 3명, 1인당 당첨금액 3,339,543,100원."
274,274,"동행복권 274회 당첨번호 13,14,15,26,35,39+25. 1등 총 4명, 1인당 당첨금액 2,505,085,575원."
275,275,"동행복권 275회 당첨번호 14,19,20,35,38,40+26. 1등 총 1명, 1인당 당첨금액 10,044,066,900원."
276,276,"동행복권 276회 당첨번호 4,15,21,33,39,41+25. 1등 총 3명, 1인당 당첨금액 3,312,569,000원."
277,277,"동행복권 277회 당첨번호 10,12,13,15,25,29+20. 1등 총 3명, 1인당 당첨금액 3,272,627,800원."
278,278,"동행복권 278회 당첨번호 3,11,37,39,41,43+13. 1등 총 3명, 1인당 당첨금액 3,186,530,000원."
279,279,"동행복권 279회 당첨번호 7,16,31,36,37,38+11. 1등 총 5명, 1인당 당첨금액 1,914,205,320원."
280,280,"동행복권 280회 당첨번호 10,11,23,24,36,37+35. 1등 총 7명, 1인당 당첨금액 1,355,258,529원."
281,281,"동행복권 281회 당첨번호 1,3,4,6,14,41+12. 1등 총 6명, 1인당 당첨금액 1,554,683,200원."
282,282,"동행복권 282회 당첨번호 2,5,10,18,31,32+30. 1등 총 7명, 1인당 당첨금액 1,322,052,643원."
283,283,"동행복권 283회 당첨번호 6,8,18,31,38,45+42. 1등 총 3명, 1인당 당첨금액 3,137,224,600원."
284,284,"동행복권 284회 당첨번호 2,7,15,24,30,45+28. 1등 총 3명, 1인당 당첨금액 3,117,640,300원."
285,285,"동행복권 285회 당첨번호 13,33,37,40,41,45+2. 1등 총 3명, 1인당 당첨금액 3,164,370,100원."
286,286,"동행복권 286회 당첨번호 1,15,19,40,42,44+17. 1등 총 3명, 1인당 당첨금액 3,236,566,300원."
287,287,"동행복권 287회 당첨번호 6,12,24,27,35,37+41. 1등 총 7명, 1인당 당첨금액 1,328,657,100원."
288,288,"동행복권 288회 당첨번호 1,12,17,28,35,41+10. 1등 총 4명, 1인당 당첨금액 2,357,261,550원."
289,289,"동행복권 289회 당첨번호 3,14,33,37,38,42+10. 1등 총 0명, 1인당 당첨금액 0원."
290,290,"동행복권 290회 당첨번호 8,13,18,32,39,45+7. 1등 총 13명, 1인당 당첨금액 2,149,214,424원."
291,291,"동행복권 291회 당첨번호 3,7,8,18,20,42+45. 1등 총 7명, 1인당 당첨금액 1,450,585,200원."
292,292,"동행복권 292회 당첨번호 17,18,31,32,33,34+10. 1등 총 14명, 1인당 당첨금액 720,373,950원."
293,293,"동행복권 293회 당첨번호 1,9,17,21,29,33+24. 1등 총 6명, 1인당 당첨금액 1,656,764,400원."
294,294,"동행복권 294회 당첨번호 6,10,17,30,37,38+40. 1등 총 4명, 1인당 당첨금액 2,406,504,975원."
295,295,"동행복권 295회 당첨번호 1,4,12,16,18,38+8. 1등 총 0명, 1인당 당첨금액 0원."
296,296,"동행복권 296회 당첨번호 3,8,15,27,30,45+44. 1등 총 8명, 1인당 당첨금액 3,066,088,275원."
297,297,"동행복권 297회 당첨번호 6,11,19,20,28,32+34. 1등 총 2명, 1인당 당첨금액 5,056,668,750원."
298,298,"동행복권 298회 당첨번호 5,9,27,29,37,40+19. 1등 총 1명, 1인당 당첨금액 9,909,778,500원."
299,299,"동행복권 299회 당첨번호 1,3,20,25,36,45+24. 1등 총 7명, 1인당 당첨금액 1,483,772,529원."
300,300,"동행복권 300회 당첨번호 7,9,10,12,26,38+39. 1등 총 12명, 1인당 당첨금액 836,092,425원."
301,301,"동행복권 301회 당첨번호 7,11,13,33,37,43+26. 1등 총 7명, 1인당 당첨금액 1,447,385,015원."
302,302,"동행복권 302회 당첨번호 13,19,20,32,38,42+4. 1등 총 2명, 1인당 당첨금액 5,472,167,250원."
303,303,"동행복권 303회 당첨번호 2,14,17,30,38,45+43. 1등 총 6명, 1인당 당첨금액 1,672,749,000원."
304,304,"동행복권 304회 당첨번호 4,10,16,26,33,41+38. 1등 총 6명, 1인당 당첨금액 1,661,646,150원."
305,305,"동행복권 305회 당첨번호 7,8,18,21,23,39+9. 1등 총 5명, 1인당 당첨금액 2,008,210,140원."
306,306,"동행복권 306회 당첨번호 4,18,23,30,34,41+19. 1등 총 5명, 1인당 당첨금액 2,102,669,520원."
307,307,"동행복권 307회 당첨번호 5,15,21,23,25,45+12. 1등 총 4명, 1인당 당첨금액 2,587,643,250원."
308,308,"동행복권 308회 당첨번호 14,15,17,19,37,45+40. 1등 총 1명, 1인당 당첨금액 10,232,872,800원."
309,309,"동행복권 309회 당첨번호 1,2,5,11,18,36+22. 1등 총 11명, 1인당 당첨금액 901,622,946원."
310,310,"동행복권 310회 당첨번호 1,5,19,28,34,41+16. 1등 총 8명, 1인당 당첨금액 1,296,713,325원."
311,311,"동행복권 311회 당첨번호 4,12,24,27,28,32+10. 1등 총 8명, 1인당 당첨금액 1,237,691,063원."
312,312,"동행복권 312회 당첨번호 2,3,5,6,12,20+25. 1등 총 15명, 1인당 당첨금액 629,017,820원."
313,313,"동행복권 313회 당첨번호 9,17,34,35,43,45+2. 1등 총 6명, 1인당 당첨금액 1,715,422,800원."
314,314,"동행복권 314회 당첨번호 15,17,19,34,38,41+2. 1등 총 6명, 1인당 당첨금액 1,660,512,200원."
315,315,"동행복권 315회 당첨번호 1,13,33,35,43,45+23. 1등 총 8명, 1인당 당첨금액 1,308,728,625원."
316,316,"동행복권 316회 당첨번호 10,11,21,27,31,39+43. 1등 총 6명, 1인당 당첨금액 1,673,586,400원."
317,317,"동행복권 317회 당첨번호 3,10,11,22,36,39+8. 1등 총 4명, 1인당 당첨금액 2,576,258,550원."
318,318,"동행복권 318회 당첨번호 2,17,19,20,34,45+21. 1등 총 9명, 1인당 당첨금액 1,207,436,600원."
319,319,"동행복권 319회 당첨번호 5,8,22,28,33,42+37. 1등 총 5명, 1인당 당첨금액 2,135,659,380원."
320,320,"동행복권 320회 당첨번호 16,19,23,25,41,45+3. 1등 총 2명, 1인당 당첨금액 5,513,067,900원."
321,321,"동행복권 321회 당첨번호 12,18,20,21,25,34+42. 1등 총 6명, 1인당 당첨금액 1,959,136,100원."
322,322,"동행복권 322회 당첨번호 9,18,29,32,38,43+20. 1등 총 6명, 1인당 당첨금액 1,904,544,700원."
323,323,"동행복권 323회 당첨번호 10,14,15,32,36,42+3. 1등 총 8명, 1인당 당첨금액 1,461,025,388원."
324,324,"동행복권 324회 당첨번호 2,4,21,25,33,36+17. 1등 총 6명, 1인당 당첨금액 1,865,130,350원."
325,325,"동행복권 325회 당첨번호 7,17,20,32,44,45+33. 1등 총 6명, 1인당 당첨금액 1,806,122,450원."
326,326,"동행복권 326회 당첨번호 16,23,25,33,36,39+40. 1등 총 6명, 1인당 당첨금액 1,832,134,550원."
327,327,"동행복권 327회 당첨번호 6,12,13,17,32,44+24. 1등 총 12명, 1인당 당첨금액 882,674,750원."
328,328,"동행복권 328회 당첨번호 1,6,9,16,17,28+24. 1등 총 6명, 1인당 당첨금액 1,819,795,900원."
329,329,"동행복권 329회 당첨번호 9,17,19,30,35,42+4. 1등 총 6명, 1인당 당첨금액 1,830,391,200원."
330,330,"동행복권 330회 당첨번호 3,4,16,17,19,20+23. 1등 총 9명, 1인당 당첨금액 1,162,280,200원."
331,331,"동행복권 331회 당첨번호 4,9,14,26,31,44+39. 1등 총 5명, 1인당 당첨금액 2,165,902,620원."
332,332,"동행복권 332회 당첨번호 16,17,34,36,42,45+3. 1등 총 8명, 1인당 당첨금액 1,359,448,388원."
333,333,"동행복권 333회 당첨번호 5,14,27,30,39,43+35. 1등 총 7명, 1인당 당첨금액 1,550,987,143원."
334,334,"동행복권 334회 당첨번호 13,15,21,29,39,43+33. 1등 총 7명, 1인당 당첨금액 1,523,002,972원."
335,335,"동행복권 335회 당첨번호 5,9,16,23,26,45+21. 1등 총 5명, 1인당 당첨금액 2,037,492,480원."
336,336,"동행복권 336회 당첨번호 3,5,20,34,35,44+16. 1등 총 6명, 1인당 당첨금액 1,685,632,650원."
337,337,"동행복권 337회 당첨번호 1,5,14,18,32,37+4. 1등 총 8명, 1인당 당첨금액 1,257,500,513원."
338,338,"동행복권 338회 당첨번호 2,13,34,38,42,45+16. 1등 총 3명, 1인당 당첨금액 3,383,431,000원."
339,339,"동행복권 339회 당첨번호 6,8,14,21,30,37+45. 1등 총 9명, 1인당 당첨금액 1,096,778,334원."
340,340,"동행복권 340회 당첨번호 18,24,26,29,34,38+32. 1등 총 7명, 1인당 당첨금액 1,439,393,186원."
341,341,"동행복권 341회 당첨번호 1,8,19,34,39,43+41. 1등 총 7명, 1인당 당첨금액 1,497,207,772원."
342,342,"동행복권 342회 당첨번호 1,13,14,33,34,43+25. 1등 총 3명, 1인당 당첨금액 3,454,095,800원."
343,343,"동행복권 343회 당첨번호 1,10,17,29,31,43+15. 1등 총 6명, 1인당 당첨금액 1,717,153,000원."
344,344,"동행복권 344회 당첨번호 1,2,15,28,34,45+38. 1등 총 7명, 1인당 당첨금액 1,467,106,543원."
345,345,"동행복권 345회 당첨번호 15,20,23,29,39,42+2. 1등 총 2명, 1인당 당첨금액 5,203,577,550원."
346,346,"동행복권 346회 당첨번호 5,13,14,22,44,45+33. 1등 총 5명, 1인당 당첨금액 2,017,727,340원."
347,347,"동행복권 347회 당첨번호 3,8,13,27,32,42+10. 1등 총 7명, 1인당 당첨금액 1,456,624,286원."
348,348,"동행복권 348회 당첨번호 3,14,17,20,24,31+34. 1등 총 3명, 1인당 당첨금액 3,299,994,000원."
349,349,"동행복권 349회 당첨번호 5,13,14,20,24,25+36. 1등 총 3명, 1인당 당첨금액 3,353,209,000원."
350,350,"동행복권 350회 당첨번호 1,8,18,24,29,33+35. 1등 총 9명, 1인당 당첨금액 1,101,052,467원."
351,351,"동행복권 351회 당첨번호 5,25,27,29,34,36+33. 1등 총 4명, 1인당 당첨금액 2,583,357,150원."
352,352,"동행복권 352회 당첨번호 5,16,17,20,26,41+24. 1등 총 6명, 1인당 당첨금액 1,732,858,250원."
353,353,"동행복권 353회 당첨번호 11,16,19,22,29,36+26. 1등 총 2명, 1인당 당첨금액 5,290,838,250원."
354,354,"동행복권 354회 당첨번호 14,19,36,43,44,45+1. 1등 총 5명, 1인당 당첨금액 2,124,464,340원."
355,355,"동행복권 355회 당첨번호 5,8,29,30,35,44+38. 1등 총 5명, 1인당 당첨금액 2,145,424,800원."
356,356,"동행복권 356회 당첨번호 2,8,14,25,29,45+24. 1등 총 9명, 1인당 당첨금액 1,157,185,267원."
357,357,"동행복권 357회 당첨번호 10,14,18,21,36,37+5. 1등 총 2명, 1인당 당첨금액 5,313,394,350원."
358,358,"동행복권 358회 당첨번호 1,9,10,12,21,40+37. 1등 총 3명, 1인당 당첨금액 3,472,654,900원."
359,359,"동행복권 359회 당첨번호 1,10,19,20,24,40+23. 1등 총 8명, 1인당 당첨금액 1,286,712,600원."
360,360,"동행복권 360회 당첨번호 4,16,23,25,35,40+27. 1등 총 3명, 1인당 당첨금액 3,566,716,200원."
361,361,"동행복권 361회 당첨번호 5,10,16,24,27,35+33. 1등 총 7명, 1인당 당첨금액 1,473,115,115원."
362,362,"동행복권 362회 당첨번호 2,3,22,27,30,40+29. 1등 총 6명, 1인당 당첨금액 1,729,424,650원."
363,363,"동행복권 363회 당첨번호 11,12,14,21,32,38+6. 1등 총 4명, 1인당 당첨금액 2,615,910,600원."
364,364,"동행복권 364회 당첨번호 2,5,7,14,16,40+4. 1등 총 4명, 1인당 당첨금액 2,531,914,800원."
365,365,"동행복권 365회 당첨번호 5,15,21,25,26,30+31. 1등 총 1명, 1인당 당첨금액 10,697,716,800원."
366,366,"동행복권 366회 당첨번호 5,12,19,26,27,44+38. 1등 총 2명, 1인당 당첨금액 5,351,553,900원."
367,367,"동행복권 367회 당첨번호 3,22,25,29,32,44+19. 1등 총 7명, 1인당 당첨금액 1,581,736,586원."
368,368,"동행복권 368회 당첨번호 11,21,24,30,39,45+26. 1등 총 7명, 1인당 당첨금액 1,465,825,115원."
369,369,"동행복권 369회 당첨번호 17,20,35,36,41,43+21. 1등 총 6명, 1인당 당첨금액 1,842,177,750원."
370,370,"동행복권 370회 당첨번호 16,18,24,42,44,45+17. 1등 총 7명, 1인당 당첨금액 1,678,941,943원."
371,371,"동행복권 371회 당첨번호 7,9,15,26,27,42+18. 1등 총 7명, 1인당 당첨금액 1,524,130,543원."
372,372,"동행복권 372회 당첨번호 8,11,14,16,18,21+13. 1등 총 9명, 1인당 당첨금액 1,192,593,200원."
373,373,"동행복권 373회 당첨번호 15,26,37,42,43,45+9. 1등 총 4명, 1인당 당첨금액 2,791,801,125원."
374,374,"동행복권 374회 당첨번호 11,13,15,17,25,34+26. 1등 총 2명, 1인당 당첨금액 5,528,717,850원."
375,375,"동행복권 375회 당첨번호 4,8,19,25,27,45+7. 1등 총 7명, 1인당 당첨금액 1,581,284,058원."
376,376,"동행복권 376회 당첨번호 1,11,13,24,28,40+7. 1등 총 6명, 1인당 당첨금액 1,956,915,800원."
377,377,"동행복권 377회 당첨번호 6,22,29,37,43,45+23. 1등 총 3명, 1인당 당첨금액 3,912,085,400원."
378,378,"동행복권 378회 당첨번호 5,22,29,31,34,39+43. 1등 총 5명, 1인당 당첨금액 2,317,698,240원."
379,379,"동행복권 379회 당첨번호 6,10,22,31,35,40+19. 1등 총 7명, 1인당 당첨금액 1,598,999,786원."
380,380,"동행복권 380회 당첨번호 1,2,8,17,26,37+27. 1등 총 4명, 1인당 당첨금액 2,684,274,825원."
381,381,"동행복권 381회 당첨번호 1,5,10,12,16,20+11. 1등 총 19명, 1인당 당첨금액 565,738,895원."
382,382,"동행복권 382회 당첨번호 10,15,22,24,27,42+19. 1등 총 6명, 1인당 당첨금액 1,846,674,900원."
383,383,"동행복권 383회 당첨번호 4,15,28,33,37,40+25. 1등 총 3명, 1인당 당첨금액 3,596,522,100원."
384,384,"동행복권 384회 당첨번호 11,22,24,32,36,38+7. 1등 총 3명, 1인당 당첨금액 3,658,734,200원."
385,385,"동행복권 385회 당첨번호 7,12,19,21,29,32+9. 1등 총 7명, 1인당 당첨금액 1,542,032,700원."
386,386,"동행복권 386회 당첨번호 4,7,10,19,31,40+26. 1등 총 10명, 1인당 당첨금액 1,042,953,330원."
387,387,"동행복권 387회 당첨번호 1,26,31,34,40,43+20. 1등 총 4명, 1인당 당첨금액 2,675,533,500원."
388,388,"동행복권 388회 당첨번호 1,8,9,17,29,32+45. 1등 총 4명, 1인당 당첨금액 2,545,543,875원."
389,389,"동행복권 389회 당첨번호 7,16,18,20,23,26+3. 1등 총 5명, 1인당 당첨금액 2,119,027,020원."
390,390,"동행복권 390회 당첨번호 16,17,28,37,39,40+15. 1등 총 1명, 1인당 당첨금액 10,373,997,900원."
391,391,"동행복권 391회 당첨번호 10,11,18,22,28,39+30. 1등 총 1명, 1인당 당첨금액 10,508,749,800원."
392,392,"동행복권 392회 당첨번호 1,3,7,8,24,42+43. 1등 총 6명, 1인당 당첨금액 1,713,528,700원."
393,393,"동행복권 393회 당첨번호 9,16,28,40,41,43+21. 1등 총 8명, 1인당 당첨금액 1,362,003,975원."
394,394,"동행복권 394회 당첨번호 1,13,20,22,25,28+15. 1등 총 1명, 1인당 당첨금액 10,654,349,100원."
395,395,"동행복권 395회 당첨번호 11,15,20,26,31,35+7. 1등 총 7명, 1인당 당첨금액 1,534,635,000원."
396,396,"동행복권 396회 당첨번호 18,20,31,34,40,45+30. 1등 총 2명, 1인당 당첨금액 5,296,622,400원."
397,397,"동행복권 397회 당첨번호 12,13,17,22,25,33+8. 1등 총 3명, 1인당 당첨금액 3,499,519,700원."
398,398,"동행복권 398회 당첨번호 10,15,20,23,42,44+7. 1등 총 4명, 1인당 당첨금액 2,680,625,550원."
399,399,"동행복권 399회 당첨번호 1,2,9,17,19,42+20. 1등 총 8명, 1인당 당첨금액 1,276,854,975원."
400,400,"동행복권 400회 당첨번호 9,21,27,34,41,43+2. 1등 총 4명, 1인당 당첨금액 2,669,834,325원."
401,401,"동행복권 401회 당첨번호 6,12,18,31,38,43+9. 1등 총 9명, 1인당 당첨금액 1,168,214,792원."
402,402,"동행복권 402회 당첨번호 5,9,15,19,22,36+32. 1등 총 4명, 1인당 당첨금액 2,662,206,188원."
403,403,"동행복권 403회 당첨번호 10,14,22,24,28,37+26. 1등 총 5명, 1인당 당첨금액 2,122,396,875원."
404,404,"동행복권 404회 당첨번호 5,20,21,24,33,40+36. 1등 총 3명, 1인당 당첨금액 3,566,659,375원."
405,405,"동행복권 405회 당첨번호 1,2,10,25,26,44+4. 1등 총 3명, 1인당 당첨금액 3,543,878,000원."
406,406,"동행복권 406회 당첨번호 7,12,21,24,27,36+45. 1등 총 5명, 1인당 당첨금액 2,156,142,450원."
407,407,"동행복권 407회 당첨번호 6,7,13,16,24,25+1. 1등 총 7명, 1인당 당첨금액 1,649,707,286원."
408,408,"동행복권 408회 당첨번호 9,20,21,22,30,37+16. 1등 총 5명, 1인당 당첨금액 2,235,375,825원."
409,409,"동행복권 409회 당첨번호 6,9,21,31,32,40+38. 1등 총 4명, 1인당 당첨금액 2,896,989,750원."
410,410,"동행복권 410회 당첨번호 1,3,18,32,40,41+16. 1등 총 9명, 1인당 당첨금액 1,249,335,709원."
411,411,"동행복권 411회 당첨번호 11,14,22,35,37,39+5. 1등 총 12명, 1인당 당첨금액 953,227,563원."
412,412,"동행복권 412회 당첨번호 4,7,39,41,42,45+40. 1등 총 7명, 1인당 당첨금액 1,656,199,822원."
413,413,"동행복권 413회 당첨번호 2,9,15,23,34,40+3. 1등 총 4명, 1인당 당첨금액 2,814,673,500원."
414,414,"동행복권 414회 당첨번호 2,14,15,22,23,44+43. 1등 총 1명, 1인당 당첨금액 11,703,832,500원."
415,415,"동행복권 415회 당첨번호 7,17,20,26,30,40+24. 1등 총 8명, 1인당 당첨금액 1,334,182,407원."
416,416,"동행복권 416회 당첨번호 5,6,8,11,22,26+44. 1등 총 10명, 1인당 당첨금액 1,072,037,100원."
417,417,"동행복권 417회 당첨번호 4,5,14,20,22,43+44. 1등 총 4명, 1인당 당첨금액 2,818,329,938원."
418,418,"동행복권 418회 당첨번호 11,13,15,26,28,34+31. 1등 총 8명, 1인당 당첨금액 1,435,649,766원."
419,419,"동행복권 419회 당첨번호 2,11,13,14,28,30+7. 1등 총 3명, 1인당 당첨금액 3,796,490,750원."
420,420,"동행복권 420회 당첨번호 4,9,10,29,31,34+27. 1등 총 8명, 1인당 당첨금액 1,424,856,375원."
421,421,"동행복권 421회 당첨번호 6,11,26,27,28,44+30. 1등 총 5명, 1인당 당첨금액 2,321,144,325원."
422,422,"동행복권 422회 당첨번호 8,15,19,21,34,44+12. 1등 총 6명, 1인당 당첨금액 2,205,251,375원."
423,423,"동행복권 423회 당첨번호 1,17,27,28,29,40+5. 1등 총 3명, 1인당 당첨금액 3,896,153,875원."
424,424,"동행복권 424회 당첨번호 10,11,26,31,34,44+30. 1등 총 10명, 1인당 당첨금액 1,109,480,813원."
425,425,"동행복권 425회 당첨번호 8,10,14,27,33,38+3. 1등 총 8명, 1인당 당첨금액 1,534,833,000원."
426,426,"동행복권 426회 당첨번호 4,17,18,27,39,43+19. 1등 총 4명, 1인당 당첨금액 3,057,233,625원."
427,427,"동행복권 427회 당첨번호 6,7,15,24,28,30+21. 1등 총 1명, 1인당 당첨금액 12,571,445,625원."
428,428,"동행복권 428회 당첨번호 12,16,19,22,37,40+8. 1등 총 9명, 1인당 당첨금액 1,437,683,209원."
429,429,"동행복권 429회 당첨번호 3,23,28,34,39,42+16. 1등 총 9명, 1인당 당첨금액 1,485,904,709원."
430,430,"동행복권 430회 당첨번호 1,3,16,18,30,34+44. 1등 총 8명, 1인당 당첨금액 1,611,763,219원."
431,431,"동행복권 431회 당첨번호 18,22,25,31,38,45+6. 1등 총 10명, 1인당 당첨금액 1,268,434,013원."
432,432,"동행복권 432회 당첨번호 2,3,5,11,27,39+33. 1등 총 5명, 1인당 당첨금액 2,299,427,550원."
433,433,"동행복권 433회 당첨번호 19,23,29,33,35,43+27. 1등 총 11명, 1인당 당첨금액 1,182,294,410원."
434,434,"동행복권 434회 당첨번호 3,13,20,24,33,37+35. 1등 총 8명, 1인당 당첨금액 1,480,060,266원."
435,435,"동행복권 435회 당첨번호 8,16,26,30,38,45+42. 1등 총 10명, 1인당 당첨금액 1,287,550,013원."
436,436,"동행복권 436회 당첨번호 9,14,20,22,33,34+28. 1등 총 8명, 1인당 당첨금액 1,512,266,579원."
437,437,"동행복권 437회 당첨번호 11,16,29,38,41,44+21. 1등 총 6명, 1인당 당첨금액 2,096,245,438원."
438,438,"동행복권 438회 당첨번호 6,12,20,26,29,38+45. 1등 총 9명, 1인당 당첨금액 1,377,142,167원."
439,439,"동행복권 439회 당첨번호 17,20,30,31,37,40+25. 1등 총 6명, 1인당 당첨금액 1,900,077,375원."
440,440,"동행복권 440회 당첨번호 10,22,28,34,36,44+2. 1등 총 6명, 1인당 당첨금액 1,995,873,000원."
441,441,"동행복권 441회 당첨번호 1,23,28,30,34,35+9. 1등 총 4명, 1인당 당첨금액 3,170,417,063원."
442,442,"동행복권 442회 당첨번호 25,27,29,36,38,40+41. 1등 총 9명, 1인당 당첨금액 1,413,413,042원."
443,443,"동행복권 443회 당첨번호 4,6,10,19,20,44+14. 1등 총 9명, 1인당 당첨금액 1,327,597,584원."
444,444,"동행복권 444회 당첨번호 11,13,23,35,43,45+17. 1등 총 3명, 1인당 당첨금액 4,154,188,625원."
445,445,"동행복권 445회 당첨번호 13,20,21,30,39,45+32. 1등 총 7명, 1인당 당첨금액 1,791,683,036원."
